happy joyful sad  
bright luminous dim  
quick fast slow  
level even uneven  
brave courageous cowardly  
angry furious calm  
cold chilly hot  
love adore hate  
big large small  
strong powerful weak  
honest truthful dishonest  
clean spotless dirty  
rich wealthy poor  
old ancient new  
quiet silent loud  
wise intelligent foolish  
deep profound shallow  
light bright dark  
friend companion enemy  
success achievement failure  
tall towering short  
soft gentle hard  
warm toasty cold  
young youthful old  
simple easy complex  
sweet sugary bitter  
weak frail strong  
dry arid wet  
empty hollow full  
open unlocked closed  
polite courteous rude  
fresh new stale  
sharp pointed dull  
smooth sleek rough  
tight firm loose  
clear transparent murky  
kind compassionate cruel  
lazy slothful active  
modern contemporary ancient  
natural organic artificial  
patient tolerant impatient  
peaceful serene chaotic  
poor needy rich  
proud arrogant humble  
pure clean impure  
rare scarce common  
real genuine fake  
safe secure dangerous  
shallow superficial deep  
sour tart sweet  
bitter sharp sweet  
calm serene agitated  
dark gloomy bright  
easy simple difficult  
fancy ornate plain  
full packed empty  
generous giving selfish  
hard rigid soft  
heavy weighty light  
humble modest arrogant  
joyful cheerful miserable  
kind gentle harsh  
long lengthy short  
loud noisy quiet  
narrow slim wide  
new fresh old  
plain simple fancy  
quiet hushed noisy  
rough coarse smooth  
sad sorrowful happy  
safe protected risky  
shallow trivial deep  
sharp keen blunt  
sick ill healthy  
smooth even rough  
strong sturdy fragile  
sweet pleasant bitter  
tall lofty short  
thick dense thin  
tight taut loose  
transparent clear opaque  
victory triumph defeat  
warm heated cold  
weak feeble robust  
wide broad narrow  
wild untamed tame  
wise prudent foolish  
young juvenile aged  
